HISTOLOGICAL_TYPE	count
IDC	125
COAD	73
LUAD	46
PAAD	35
HGSOC	12
LMS	11
CHOL	10
MEL	9
ILC	8
PANET	7
GEJ	7
LGSOC	7
MFH	6
STAD	6
UM	6
ANSC	6
LUSC	5
CCOV	5
UEC	5
UCS	5
DDLS	4
ACC	4
GIST	4
THME	3
OS	3
BCC	3
PTCLNOS	3
PEMESO	3
PRAD	3
ESCA	3
THYC	3
MNG	3
ULMS	3
ES	3
ACYC	3
APAD	3
DLBCL	2
IHCH	2
MDLC	2
OPHSC	2
HCC	2
BRCA	2
NSCLC	2
APE	2
PLMESO	2
GBM	2
IMMC	2
LUNE	2
RCC	2
CLL	2
CHDM	2
LUACC	2
GRCT	2
EMBC	2
SACA	2
MBC	2
CEAIS	2
FL	2
DA	2
AECA	2
SARCL	1
BCL	1
CSCC	1
ACRM	1
SBWDNET	1
MCL	1
PB	1
ARMS	1
NPC	1
COM	1
MYEC	1
CHOS	1
THYM	1
RAML	1
PAST	1
HNMUCM	1
SCLC	1
FIBS	1
LNET	1
MXOV	1
ACBC	1
BA	1
PAMPCA	1
PRCC	1
FIOS	1
PNET	1
ASPS	1
CESC	1
EPM	1
ATRT	1
THFO	1
CHS	1
GNG	1
SKCM	1
SNA	1
SYNS	1
GBC	1
POCA	1
CCHM	1
MRLS	1
ECAD	1
PLEMESO	1
BLAD	1
MUP	1
ESCC	1
NSGCT	1
HGNEC	1
PLLS	1
PUO	1
RCSNOS	1
CSCLC	1
STAS	1
ODGC	1
VMM	1
VSC	1
MLAV	1
UCEC	1
CACC	1
PGNG	1
ALUCA	1
OUTT	1
OCS	1
NSCLCPD	1
MACR	1
DCIS	1
SDCA	1
AODG	1
SFTCNS	1
ODG	1
MPNST	1
SCCO	1
MPE	1
WDLS	1
CDRCC	1
SOC	1
CCS	1
SARCNOS	1
