Type	Alkylating agent, Other	Anthracyclines	Antimetabolite	Camptothecin analogs	Chromomycins	Hydrazines and Triazines	Monoclonal antibody	Mustard gas derivative	Platinums	Podophyllotoxins	Targeted therapy	Taxanes	Vinca alkaloids	Radiation	Other
ACC	0	5	0	0	0	0	0	0	5	5	0	0	0	0	5
AML	0	8	8	0	1	0	0	1	0	8	0	0	0	0	2
ARMS	0	6	0	10	10	1	2	13	0	9	3	0	11	7	0
ASPS	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ATRT	0	3	0	0	3	3	0	3	3	0	0	0	3	3	0
BALL	0	20	21	4	0	0	1	16	0	13	5	0	21	4	7
CD	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CPC	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0
DMG	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
DSRCT	0	5	0	4	0	2	0	5	2	5	0	0	5	2	1
EMBCNS	0	0	2	0	0	0	0	2	2	0	0	0	2	2	2
EPD	2	0	4	1	0	0	1	7	7	5	1	0	6	8	0
ERMS	0	11	0	12	14	1	0	16	2	5	3	0	15	9	0
ES	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0
EWS	0	17	1	8	6	5	0	19	0	15	0	0	19	9	0
HB	0	5	0	3	0	0	0	4	5	4	0	0	4	0	1
HCC	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0
HGG	5	2	3	0	0	8	1	7	8	4	1	0	11	14	2
LGG	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
MBL	1	0	5	0	0	0	0	7	8	2	1	0	8	8	3
MFT	0	0	0	0	3	0	0	3	0	2	0	0	3	1	0
MN	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MPN	0	3	3	0	0	0	3	3	0	3	0	0	3	0	3
MPNST	0	3	0	0	0	0	0	3	0	0	0	0	0	2	0
MRT	0	5	0	0	4	0	0	5	4	5	3	0	5	1	0
NBL	16	61	2	58	0	18	16	72	68	66	3	0	58	29	22
OST	0	31	30	0	0	0	0	14	31	12	2	2	1	4	4
Other	2	12	12	4	1	5	2	19	13	14	5	3	18	14	6
PTC	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0
SPINDLE	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
SS	0	4	0	0	0	0	0	4	0	1	0	0	0	2	1
TALL	0	6	5	4	0	0	0	6	0	5	0	0	6	0	0
US	0	5	0	3	1	1	0	6	2	6	0	0	5	2	1
WT	0	15	0	4	15	0	0	9	8	9	0	0	15	9	0
